YEAR,MONTH,DAY,HOUR,MINUTE,CAUSE,VALIDITY,FOCAL_DEPTH,PRIMARY_MAGNITUDE,REGION_CODE,COUNTRY,Contenient,LOCATION,LATITUDE,LONGITUDE,MAXIMUM_HEIGHT,MAGNITUDE_ABE,MAGNITUDE_IIDA,INTENSITY_SOLOVIEV,WARNING_STATUS,MISSING,MISSING_ESTIMATE,INJURIES,INJURY_ESTIMATE,FATALITIES,FATALITY_ESTIMATE,DAMAGE_MILLIONS_DOLLARS,DAMAGE_ESTIMATE,HOUSES_DAMAGED,HOUSE_DAMAGE_ESTIMATE,HOUSES_DESTROYED,HOUSE_DESTRUCTION_ESTIMATE,ALL_MISSING,MISSING_TOTAL,ALL_INJURIES,INJURY_TOTAL,ALL_FATALITIES,FATALITY_TOTAL,ALL_DAMAGE_MILLIONS,DAMAGE_TOTAL,ALL_HOUSES_DAMAGED,HOUSE_DAMAGE_TOTAL,ALL_HOUSES_DESTROYED,HOUSE_DESTRUCTION_TOTAL
2005,8,16,2,46,1,4,36,7.2,85,JAPAN,Asia,E. COAST HONSHU ISLAND,38.276,142.039,0.05,,,,3,,,,,,,,,,,,,,,56,2,,,,1,,,1,1
2005,11,14,21,38,1,4,11,7,85,JAPAN,Asia,E. COAST HONSHU ISLAND,38.107,144.896,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,12,9,1,57,9,4,,,88,CANADA,North America,BRITISH COLUMBIA,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,1,16,,,8,0,,,88,USA,North America,"COLUMBIA RIVER VALLEY, WA",,,9,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2006,3,14,6,57,1,4,30,6.7,83,INDONESIA,Asia,SERAM ISLAND,-3.595,127.214,3.5,,,,,,,,,4,1,,2,,,241,3,,,,,4,1,1,2,,,241,3
2006,5,3,15,26,1,4,55,8,81,TONGA,Oceania,TONGA,-20.187,-174.123,0.27,,,,2,,,,,,,,,,,,,,,1,1,,,,1,,,,
2006,5,20,11,20,6,4,,,74,MONTSERRAT,North America,SOUFRIERE HILLS VOLCANO,16.722,-62.18,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2006,7,17,8,19,1,4,34,7.7,60,INDONESIA,Asia,SOUTH OF JAVA,-9.254,107.411,20.9,,,,,498,3,,,802,3,55,4,,,1623,4,,,498,3,802,3,55,4,,,1623,4
2006,9,28,6,22,1,4,28,6.9,81,SAMOA,Oceania,SAMOA ISLANDS,-16.592,-172.033,0.08,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2006,10,15,17,7,1,4,39,6.7,80,USA,North America,HAWAII,19.878,-155.935,0.1,,,,4,,,,,,,,,,,,,,,,3,,,,2,,,,
2006,11,15,11,14,1,4,10,8.3,86,RUSSIA,Europe,S. KURIL ISLANDS,46.592,153.266,21.9,,,,1,1,1,,,,,,2,,,,,,,1,1,,,,2,,,,
2006,12,26,12,26,1,4,10,7,84,CHINA,Asia,TAIWAN,21.799,120.547,0.07,,,,,,,,,,,,,,,,,,,40,1,2,1,,1,,,,2
2007,1,13,4,23,1,4,10,8.1,86,RUSSIA,Europe,S. KURIL ISLANDS,46.243,154.524,0.4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,25,0,40,1,4,34,7.1,82,VANUATU,Oceania,VANUATU ISLANDS,-20.617,169.357,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,3,25,0,41,1,4,8,6.7,85,JAPAN,Asia,HONSHU: W COAST,37.336,136.588,0.1,,,,3,,,,,,,,,,,,,,,150,3,1,1,,3,,,513,3
2007,4,1,20,39,1,4,10,8.1,82,SOLOMON ISLANDS,Asia,SOLOMON ISLANDS,-8.46,157.044,12.1,,,,1,,,,,52,2,,3,,,2500,4,,,,,54,2,,3,500,3,2500,4
2007,4,21,17,53,3,4,,6.2,89,CHILE,South America,SOUTHERN CHILE,-45.285,-72.606,7.6,,,,,,,,,10,1,,1,,,,,,,,,10,1,,1,2,1,,
2007,5,7,,,8,2,,,40,BULGARIA,Europe,BLACK SEA,43,29,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,7,16,1,13,1,4,10,6.6,85,JAPAN,Asia,HONSHU: W COAST,37.57,138.478,,,,,4,,,,,,,,,,,,,,,1088,4,9,1,,3,,,875,3
2007,8,2,2,37,1,4,5,6.2,86,RUSSIA,Europe,TATAR STRAIT,47.116,141.798,0.19,,,,4,,,,,,,,,,,,,,,12,1,2,1,,1,20,1,11,1
2007,8,2,3,21,1,4,21,6.7,87,USA,North America,"ALEUTIAN ISLANDS, AK",51.307,-179.971,0.03,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2007,8,15,23,40,1,4,39,8,89,PERU,South America,S. PERU,-13.386,-76.603,10.05,,,,1,,,,,3,1,,1,,,,1,,,1090,4,514,3,,4,,,39700,4
2007,9,2,1,5,1,4,35,7.2,82,SOLOMON ISLANDS,Oceania,SANTA CRUZ ISLANDS,-11.61,165.762,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,9,12,11,10,1,4,34,8.4,60,INDONESIA,Asia,SUMATRA,-4.438,101.367,5,,,,,,,,,,,,1,,2,,,,,161,3,25,1,,3,,,56425,4
2007,9,30,5,23,1,4,10,7.4,81,NEW ZEALAND,Australia,AUCKLAND ISLANDS,-49.418,163.954,0.25,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
2007,11,14,15,40,1,4,40,7.7,89,CHILE,South America,NORTHERN CHILE,-22.247,-69.89,0.28,,,,2,,,,,,,,,,,,,,,65,2,2,1,,3,,,,4
2007,11,29,19,0,1,4,156,7.4,74,MARTINIQUE (FRENCH TERRITORY),North America,,14.944,-61.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,12,3,,,8,4,,,88,CANADA,North America,"CHEHALIS LAKE, CHILLIWACK",49.475,-121.847,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
2007,12,9,7,28,1,4,153,7.8,81,KERMADEC ISLANDS,Oceania,KERMADEC ISLANDS,-25.996,-177.514,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,2,25,8,36,1,4,25,6.5,60,INDONESIA,Asia,SUMATRA,-2.486,99.972,0.12,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
2008,4,9,12,46,1,4,35,7.3,82,NEW CALEDONIA,Asia,LOYALTY ISLANDS,-20.071,168.892,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,4,28,18,33,1,1,32,6.4,82,VANUATU,Oceania,VANUATU ISLANDS,-19.941,168.953,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,5,12,6,28,1,0,19,7.9,84,CHINA,Asia,SICHUAN PROVINCE,31.002,103.322,,,,,,,,,,,,,,,,,,,,374171,4,87652,4,86000,4,,,5360000,4
2008,7,19,2,39,1,4,22,6.9,85,JAPAN,Asia,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,8,8,,,6,4,,,87,USA,North America,"KASATOCHI VOLCANO, ALEUTIAN IS, AK",52.18,-175.5,0.19,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
